"INDEX","DATE","TYPE","LOCATION","MAX KILLED","MIN KILLED","MAX CHILDREN KILLED","MIN CHILDREN KILLED","MAX CIVILIANS KILLED","MIN CIVILIANS KILLED","MAX INJURIES","MIN INJURIES"
"AFG122","17 November 2015","US strike","Behsood, Nangarhar, Afghanistan","8","8","0","0","0","0","0","0"
"AFG123","18 November 2015","US strike","Babrak Thana, Khost, Afghanistan","50","21","0","0","0","0","0","0"
"SOM027","21 November 2015","Air operation - drone strike","Balad Amin, Lower Shabelle, Somalia","10","5","0","0","0","0","0","0"
"AFG125","24 November 2015","US strike","Behsood, Nangarhar, Afghanistan","8","8","0","0","0","0","0","0"
"AFG124","24 November 2015","US strike","Dabila, Mohmand Dara, Nangarhar, Afghanistan","2","2","0","0","0","0","0","0"
"AFG126","25 November 2015","US strike","Gagi Mountain, Ali Shir, Tere Zayi, Khost, Afghanistan","16","10","0","0","0","0","20","20"
"SOM029","02 December 2015","Air operation - drone strike","Kunyo-Barow, Lower Shabelle, Somalia","3","3","0","0","0","0","0","0"
"AFG127","03 December 2015","US strike","Nakora, Chapa Dara, Kunar, Afghanistan","3","3","0","0","0","0","0","0"
"AFG128","08 December 2015","US strike","Ador, Khogyani, Nangarhar, Afghanistan","11","11","0","0","0","0","0","0"
"AFG131","19 December 2015","US air and ground operations","Bati Kot, Nangarhar, Afghanistan","3","3","0","0","0","0","2","2"
"SOM030","21 December 2015","Air operation - drone strike","Kuntuwarey district, Lower Shabelle, Somalia","5","5","0","0","0","0","0","0"
"YEM210","22 December 2015","US drone strike","Nata district, Bayda-Shabwa border, Yemen","4","4","0","0","0","0","0","0"
"AFG132","22 December 2015","US air and ground operations","28th canal area, Ghani Khel, Nangarhar, Afghanistan","3","3","0","0","0","0","0","0"
"AFG134","23 December 2015","US strike","Atewishtama Wyala, Ghanikhel, Nangarhar, Afghanistan","3","3","0","0","0","0","0","0"
"AFG133","23 December 2015","US strike","Sangin, Sangin, Helmand, Afghanistan","0","0","0","0","0","0","0","0"
"AFG135","29 December 2015","US strike","Masboud valley, Alishang, Laghman, Afghanistan","2","2","0","0","0","0","0","0"
"AFG136","02 January 2016","US strike","Shaltan Darra, Shegal, Kunar, Afghanistan","5","5","0","0","0","0","2","2"
"AFG138","08 January 2016","US strike","Maktab village, Pekha, Achin, Nangarhar, Afghanistan","20","17","0","0","0","0","2","2"
"AFG142","09 January 2016","US strike","Shegal, Kunar, Afghanistan","10","10","1","1","1","1","0","0"
"AFG141","09 January 2016","US strike","Achin, Nangarhar, Afghanistan","20","20","0","0","0","0","2","2"
"Ob371","09 January 2016","US drone strike","Mangrooti village, Shawal valley, Datta Khel tehsil, Pakistan","5","5","0","0","0","0","2","2"
"AFG145","14 January 2016","US strike","Abdulkhelo area, Bandar locality, Achin, Nangarhar, Afghanistan","12","12","0","0","0","0","0","0"
"YEM211","15 January 2016","US drone strike","Rafadh, Shabwa, Yemen","3","3","0","0","0","0","0","0"
"AFG147","16 January 2016","US strike","Shabi Tangi, Haska Mena, Nangarhar, Afghanistan","22","22","0","0","0","0","0","0"
"YEM212","19 January 2016","US drone strike","Sayoun, Hadramout, Yemen","2","2","0","0","0","0","0","0"
"AFG149","19 January 2016","US strike","Deh Sarak, Achin, Nangarhar, Afghanistan","5","5","0","0","0","0","0","0"
"AFG148","19 January 2016","US strike","Deh Sarak, Achin, Nangarhar, Afghanistan","5","5","0","0","0","0","0","0"
"AFG150","22 January 2016","US strike","Khawajakhel, Arghandab, Zabul, Afghanistan","3","3","0","0","0","0","0","0"
"AFG151","22 January 2016","US strike","Nangarhar, Afghanistan","2","2","0","0","0","0","0","0"
"AFG152","22 January 2016","US strike","Abdulkhel area, Achin, Nangarhar, Afghanistan","3","3","0","0","0","0","0","0"
"AFG153","22 January 2016","US strike","Gorgori, Haska Mena, Nangarhar, Afghanistan","10","10","0","0","0","0","0","0"
"AFG154","23 January 2016","US strike","Bandar, Achin, Nangarhar, Afghanistan","3","3","0","0","0","0","0","0"
"AFG155","23 January 2016","US strike","Nargusi, Achin, Nangarhar, Afghanistan","6","6","0","0","0","0","0","0"
"AFG156","24 January 2016","US strike","Gurguri, Deh Bala, Nangarhar, Afghanistan","13","13","0","0","0","0","0","0"
"AFG157","24 January 2016","US strike","Bandar Khwar, Achin, Nangarhar, Afghanistan","4","4","0","0","0","0","0","0"
"AFG158","25 January 2016","US strike","Achin, Nangarhar, Afghanistan","5","5","0","0","0","0","0","0"
"AFG159","01 February 2016","US strike","Momand, Achin, Nangarhar, Afghanistan","29","21","0","0","0","0","0","0"
"AFG160","01 February 2016","US strike","Bermal or Gomal, Paktika, Afghanistan","19","19","0","0","0","0","0","0"
"AFG161","02 February 2016","US strike","Bandar, Achin, Nangarhar, Afghanistan","4","3","0","0","0","0","0","0"
